,Mandante,Visitante,Rodada,Classe,ranking_mandante,pontos_mandante,saldo_mandante,ranking_visitante,pontos_visitante,saldo_visitante
5354,Athlético-pr,Corinthians,8,0,11078,6,-2,15624,9,1
5355,Santos,Coritiba,8,0,13736,11,3,12804,15,4
5356,Goiás,Portuguesa,8,1,9896,9,-4,7840,7,-3
5357,Internacional,Flamengo,8,1,14360,12,4,14352,9,1
5358,Fluminense,Vasco,8,-1,16208,9,1,15030,7,-6
5359,São paulo,Internacional,12,-1,14786,12,-1,14360,16,1
5360,Portuguesa,Athlético-pr,9,-1,7840,7,-4,11078,7,-2
5361,Ponte preta,Santos,9,1,7600,7,-6,13736,12,3
5362,Vasco,Criciúma,9,1,15030,10,-4,4370,10,-4
5363,Flamengo,Botafogo-rj,9,0,14352,9,0,10622,16,5
5364,Corinthians,São paulo,9,0,15624,10,1,14786,8,-1
5365,Coritiba,Vitória,9,0,12804,16,4,9900,14,5
5366,Bahia,Goiás,9,1,9282,10,-2,9896,12,-3
5367,Cruzeiro,Atlético-mg,9,1,13096,15,11,11520,13,4
5368,Grêmio,Fluminense,9,1,14460,12,1,16208,9,-1
5369,Náutico,Internacional,9,1,8036,4,-12,14360,15,5
5370,Portuguesa,Criciúma,10,0,7840,7,-5,4370,10,-5
5371,Atlético-mg,Athlético-pr,10,-1,11520,13,1,11078,10,-1
5372,Bahia,Flamengo,10,1,9282,13,-1,14352,10,0
5373,Corinthians,Grêmio,10,1,15624,11,1,14460,15,3
5374,Coritiba,Ponte preta,10,1,12804,17,4,7600,10,-5
5375,Fluminense,Cruzeiro,10,1,16208,9,-3,13096,18,14
5376,Goiás,Vasco,10,0,9896,12,-4,15030,13,-3
5377,Botafogo-rj,Vitória,10,1,10622,17,5,9900,15,5
5378,Cruzeiro,Coritiba,11,1,13096,18,13,12804,20,6
5379,Ponte preta,Fluminense,11,0,7600,10,-7,16208,12,-2
5380,Grêmio,Internacional,11,0,14460,15,1,14360,15,1
