Mandante,Visitante,Rodada,ranking_mandante,pontos_mandante,saldo_mandante,ranking_visitante,pontos_visitante,saldo_visitante,Classe
Fluminense,Santos,18,9938,26,5,13944,27,4,1
Atlético-go,Palmeiras,18,5834,22,-4,16640,23,-1,-1
Internacional,Flamengo,18,12204,34,15,15428,34,11,0
Athlético-pr,Grêmio,18,13466,19,-3,15160,24,3,-1
Botafogo-rj,Ceará,19,9640,19,-7,6751,23,-3,0
Corinthians,Internacional,19,13084,21,-5,12204,35,15,1
Coritiba,Atlético-go,19,5958,13,-11,5834,22,-7,1
Fortaleza,Fluminense,19,6585,25,4,9938,29,7,-1
Flamengo,São paulo,19,15428,35,11,10526,34,14,-1
Sport,Athlético-pr,19,7237,21,-8,13466,19,-4,1
Santos,Bahia,19,13944,27,2,10719,22,-2,1
Goiás,Vasco,19,6703,11,-15,9242,23,-3,0
Palmeiras,Atlético-mg,19,16640,26,2,13096,32,9,1
Grêmio,Bragantino,19,15160,27,4,4145,19,-3,1
São paulo,Goiás,20,10526,37,17,6703,12,-15,1
Athlético-pr,Fortaleza,20,13466,19,-5,6585,25,3,1
Atlético-go,Corinthians,20,5834,22,-8,13084,24,-4,0
Vasco,Palmeiras,20,9242,24,-3,16640,29,5,-1
Internacional,Coritiba,20,12204,35,14,5958,16,-10,0
Bragantino,Santos,20,4145,19,-4,13944,30,4,0
Atlético-mg,Flamengo,20,13096,32,6,15428,35,8,1
Bahia,Botafogo-rj,20,10719,22,-4,9640,20,-7,1
Fluminense,Grêmio,20,9938,32,8,15160,30,5,-1
Ceará,Sport,20,6751,24,-3,7237,24,-7,0
Bahia,Fortaleza,18,10719,19,-3,6585,25,5,1
Santos,Internacional,21,13944,31,4,12204,36,14,1
Sport,Vasco,21,7237,25,-7,9242,24,-4,-1
Goiás,Athlético-pr,21,6703,12,-16,13466,22,-4,-1
Corinthians,Atlético-mg,21,13084,25,-4,13096,35,10,-1
Grêmio,Ceará,21,15160,33,6,6751,25,-3,1
Fortaleza,São paulo,21,6585,25,2,10526,40,18,-1
Flamengo,Atlético-go,21,15428,35,4,5834,23,-8,0
Palmeiras,Fluminense,21,16640,32,6,9938,32,7,1
Coritiba,Bahia,21,5958,17,-10,10719,25,-3,-1
Botafogo-rj,Bragantino,21,9640,20,-8,4145,20,-4,-1
Atlético-mg,Athlético-pr,6,13096,9,2,13466,6,-1,-1
Vasco,Fortaleza,16,9242,22,0,6585,21,3,0
Bragantino,Bahia,22,4145,23,-3,10719,28,-2,1
Flamengo,Coritiba,22,15428,36,4,5958,17,-11,1
Athlético-pr,Santos,22,13466,25,-3,13944,34,6,1
Goiás,Palmeiras,22,6703,12,-17,16640,35,8,1
São paulo,Vasco,22,10526,43,19,9242,27,-2,0
Ceará,Atlético-mg,22,6751,25,-5,13096,38,11,0
Botafogo-rj,Fortaleza,22,9640,20,-9,6585,25,1,-1
Internacional,Fluminense,22,12204,36,12,9938,32,5,-1
Corinthians,Grêmio,22,13084,25,-5,15160,36,8,0
Sport,Atlético-go,22,7237,25,-9,5834,24,-8,-1
Ceará,São paulo,16,6751,18,-4,10526,29,10,0
Atlético-mg,Botafogo-rj,23,13096,39,11,9640,20,-10,1
Coritiba,Corinthians,23,5958,17,-13,13084,26,-5,-1
Fortaleza,Goiás,23,6585,28,2,6703,15,-16,0
Palmeiras,Athlético-pr,23,16640,35,7,13466,28,-2,1
Santos,Sport,23,13944,34,5,7237,25,-10,1
Bahia,São paulo,23,10719,28,-6,10526,44,19,-1
Atlético-go,Internacional,23,5834,27,-7,12204,36,11,0
Vasco,Ceará,23,9242,28,-2,6751,26,-5,-1
Fluminense,Bragantino,23,9938,35,6,4145,26,1,0
Grêmio,Goiás,6,15160,7,1,6703,4,-4,1
Fortaleza,Corinthians,24,6585,29,2,13084,29,-4,0
Goiás,São paulo,1,6703,0,0,10526,0,0,-1
Botafogo-rj,Flamengo,24,9640,20,-11,15428,42,8,-1
Santos,Palmeiras,24,13944,37,7,16640,38,10,0
Fluminense,Athlético-pr,24,9938,36,6,13466,28,-5,1
Bahia,Ceará,24,10719,28,-8,6751,29,-2,-1
Coritiba,Bragantino,24,5958,17,-14,4145,27,1,0
São paulo,Sport,24,10526,47,21,7237,25,-12,1
Grêmio,Vasco,24,15160,37,6,9242,28,-5,1
Atlético-mg,Internacional,24,13096,42,12,12204,37,11,0
Atlético-go,Goiás,24,5834,28,-7,6703,16,-16,-1
São paulo,Botafogo-rj,18,10526,31,10,9640,19,-3,1
Bragantino,Fortaleza,25,4145,28,1,6585,30,2,1
Athlético-pr,Atlético-mg,25,13466,28,-7,13096,43,12,-1
Palmeiras,Bahia,25,16640,39,10,10719,28,-10,1
Internacional,Botafogo-rj,25,12204,38,11,9640,20,-12,1
Ceará,Atlético-go,25,6751,32,0,5834,28,-8,-1
Goiás,Grêmio,25,6703,19,-15,15160,40,10,0
Flamengo,Santos,25,15428,45,9,13944,38,7,1
